Entity,Code,Year,Gas production (TWh)
Africa,,1900,0
Africa,,1901,0
Africa,,1902,0
Africa,,1903,0
Africa,,1904,0
Africa,,1905,0
Africa,,1906,0
Africa,,1907,0
Africa,,1908,0
Africa,,1909,0
Africa,,1910,0
Africa,,1911,0
Africa,,1912,0
Africa,,1913,0
Africa,,1914,0
Africa,,1915,0
Africa,,1916,0
Africa,,1917,0
Africa,,1918,0
Africa,,1919,0
Africa,,1920,0
Africa,,1921,0
Africa,,1922,0
Africa,,1923,0
Africa,,1924,0
Africa,,1925,0
Africa,,1926,0
Africa,,1927,0
Africa,,1928,0
Africa,,1929,0
Africa,,1930,0
Africa,,1931,0
Africa,,1932,0
Africa,,1933,0
Africa,,1934,0
Africa,,1935,0
Africa,,1936,0
Africa,,1937,0
Africa,,1938,0
Africa,,1939,0
Africa,,1940,0
Africa,,1941,0
Africa,,1942,0
Africa,,1943,0
Africa,,1944,0
Africa,,1945,0
Africa,,1946,0.843
Africa,,1947,0.843
Africa,,1948,0.867
Africa,,1949,0.879
Africa,,1950,0.928
Africa,,1951,1.001
Africa,,1952,1.025
Africa,,1953,1.11
Africa,,1954,1.231
Africa,,1955,1.219
Africa,,1956,1.353
Africa,,1957,1.342
Africa,,1958,1.428
Africa,,1959,1.646
Africa,,1960,1.768
Africa,,1961,2.843
Africa,,1962,4.54
Africa,,1963,6.089
Africa,,1964,11.323
Africa,,1970,30.172
Africa,,1971,37.023
Africa,,1972,65.135
Africa,,1973,98.322
Africa,,1974,102.605
Africa,,1975,115.331
Africa,,1976,137.282
Africa,,1977,139.977
Africa,,1978,186.69
Africa,,1979,283.33
Africa,,1980,248.304
Africa,,1981,264.748
Africa,,1982,325.113
Africa,,1983,436.957
Africa,,1984,458.651
Africa,,1985,505.679
Africa,,1986,530.144
Africa,,1987,578.979
Africa,,1988,617.533
Africa,,1989,677.409
Africa,,1990,721.591
Africa,,1991,773.452
Africa,,1992,808.283
Africa,,1993,833.407
Africa,,1994,789.647
Africa,,1995,872.706
Africa,,1996,933.326
Africa,,1997,1041.612
Africa,,1998,1109.317
Africa,,1999,1216.727
Africa,,2000,1351.014
Africa,,2001,1396.444
Africa,,2002,1460.084
Africa,,2003,1568.501
Africa,,2004,1641.08
Africa,,2005,1710.642
Africa,,2006,1851.134
Africa,,2007,1957.179
Africa,,2008,2038.588
Africa,,2009,1921.288
Africa,,2010,2023.264
Africa,,2011,2017.388
Africa,,2012,2067.528
Africa,,2013,1983.385
Africa,,2014,1986.874
Africa,,2015,2039.581
Africa,,2016,2059.145
Africa,,2017,2241.847
Africa,,2018,2362.487
Africa,,2019,2379.368
Albania,ALB,1900,0
Albania,ALB,1901,0
Albania,ALB,1902,0
Albania,ALB,1903,0
Albania,ALB,1904,0
Albania,ALB,1905,0
Albania,ALB,1906,0
Albania,ALB,1907,0
Albania,ALB,1908,0
Albania,ALB,1909,0
Albania,ALB,1910,0
Albania,ALB,1911,0
Albania,ALB,1912,0
Albania,ALB,1913,0
Albania,ALB,1914,0
Albania,ALB,1915,0
Albania,ALB,1916,0
Albania,ALB,1917,0
Albania,ALB,1918,0
Albania,ALB,1919,0
Albania,ALB,1920,0
Albania,ALB,1921,0
Albania,ALB,1922,0
Albania,ALB,1923,0
Albania,ALB,1924,0
Albania,ALB,1925,0
Albania,ALB,1926,0
Albania,ALB,1927,0
Albania,ALB,1928,0
Albania,ALB,1929,0
Albania,ALB,1930,0
Albania,ALB,1931,0
Albania,ALB,1932,0
Albania,ALB,1933,0
Albania,ALB,1934,0
Albania,ALB,1935,0
Albania,ALB,1936,0
