Entity,Code,Year,Oil production (TWh)
Africa,,1900,0
Africa,,1901,0
Africa,,1902,0
Africa,,1903,0
Africa,,1904,0
Africa,,1905,0
Africa,,1906,0
Africa,,1907,0
Africa,,1908,0
Africa,,1909,0
Africa,,1910,0
Africa,,1911,0.035
Africa,,1912,0.326
Africa,,1913,0.151
Africa,,1914,1.163
Africa,,1915,0.349
Africa,,1916,0.686
Africa,,1917,1.605
Africa,,1918,3.291
Africa,,1919,2.617
Africa,,1920,1.733
Africa,,1921,2.128
Africa,,1922,2.024
Africa,,1923,1.791
Africa,,1924,1.919
Africa,,1925,2.117
Africa,,1926,2.024
Africa,,1927,2.163
Africa,,1928,3.128
Africa,,1929,3.198
Africa,,1930,3.338
Africa,,1931,3.373
Africa,,1932,3.163
Africa,,1933,2.791
Africa,,1934,2.582
Africa,,1935,2.117
Africa,,1936,2.128
Africa,,1937,2.024
Africa,,1938,2.663
Africa,,1939,7.804
Africa,,1940,10.862
Africa,,1941,14.27
Africa,,1942,13.805
Africa,,1943,15.003
Africa,,1944,15.794
Africa,,1945,15.735
Africa,,1946,14.945
Africa,,1947,15.549
Africa,,1948,22.027
Africa,,1949,26.819
Africa,,1950,30.808
Africa,,1951,28.086
Africa,,1952,29.063
Africa,,1953,29.529
Africa,,1954,25.132
Africa,,1955,23.004
Africa,,1956,21.725
Africa,,1957,31.134
Africa,,1958,52.323
Africa,,1959,67.675
Africa,,1960,160.482
Africa,,1961,275.015
Africa,,1962,451.768
Africa,,1963,665.423
Africa,,1964,957.755
Africa,,1965,1233.096
Africa,,1966,1569.275
Africa,,1967,1726.33
Africa,,1968,2212.528
Africa,,1969,2813.719
Africa,,1970,3394.11
Africa,,1971,3175.866
Africa,,1972,3188.988
Africa,,1973,3341.488
Africa,,1974,3080.558
Africa,,1975,2826.497
Africa,,1976,3371.628
Africa,,1977,3535.287
Africa,,1978,3450.934
Africa,,1979,3794.055
Africa,,1980,3486.818
Africa,,1981,2768.638
Africa,,1982,2661.734
Africa,,1983,2697.965
Africa,,1984,2881.095
Africa,,1985,2995.46
Africa,,1986,2986.855
Africa,,1987,2992.771
Africa,,1988,3119.891
Africa,,1989,3443.433
Africa,,1990,3690.371
Africa,,1991,3828.372
Africa,,1992,3900.955
Africa,,1993,3850.099
Africa,,1994,3842.345
Africa,,1995,3904.604
Africa,,1996,4031.02
Africa,,1997,4124.747
Africa,,1998,4138.617
Africa,,1999,4021.61
Africa,,2000,4314.525
Africa,,2001,4271.282
Africa,,2002,4300.268
Africa,,2003,4676.877
Africa,,2004,5204.051
Africa,,2005,5395.947
Africa,,2006,5521.856
Africa,,2007,5637.1
Africa,,2008,5694.421
Africa,,2009,5478.203
Africa,,2010,5655.095
Africa,,2011,4714.571
Africa,,2012,5134.572
Africa,,2013,4754.949
Africa,,2014,4535.521
Africa,,2015,4489.639
Africa,,2016,4232.376
Africa,,2017,4468.197
Africa,,2018,4581.158
Africa,,2019,4633.442
Albania,ALB,1900,0
Albania,ALB,1901,0
Albania,ALB,1902,0
Albania,ALB,1903,0
Albania,ALB,1904,0
Albania,ALB,1905,0
Albania,ALB,1906,0
Albania,ALB,1907,0
Albania,ALB,1908,0
Albania,ALB,1909,0
Albania,ALB,1910,0
Albania,ALB,1911,0
Albania,ALB,1912,0
Albania,ALB,1913,0
Albania,ALB,1914,0
Albania,ALB,1915,0
Albania,ALB,1916,0
Albania,ALB,1917,0
Albania,ALB,1918,0
Albania,ALB,1919,0
Albania,ALB,1920,0
Albania,ALB,1921,0
Albania,ALB,1922,0
Albania,ALB,1923,0
